"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","885","Тест появления сообщений при добавлении товара в корзину","tests.ui","Mon Apr 14 07:44:54 GMT 2025","passed","Mon Apr 14 07:44:55 GMT 2025","","test_product_page","",""
"Гость может нажать кнопку Войти со страницы любого товара","696","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 14 07:45:23 GMT 2025","passed","Mon Apr 14 07:45:23 GMT 2025","","test_product_page","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","5153","Тест заранее проваленный","tests.ui","Mon Apr 14 07:45:16 GMT 2025","skipped","Mon Apr 14 07:45:22 GMT 2025","","test_product_page","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","22630","Тест надписей пустой корзины и не пустой","tests.ui","Mon Apr 14 07:45:24 GMT 2025","passed","Mon Apr 14 07:45:46 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","20357","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests.ui","Mon Apr 14 07:44:56 GMT 2025","passed","Mon Apr 14 07:45:16 GMT 2025","","test_product_page","",""
"","372","Тест видимости кнопки логин неавторизованного пользователя","tests.ui","Mon Apr 14 07:44:30 GMT 2025","passed","Mon Apr 14 07:44:31 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"","1396","Тест добавления товара в корзины авторизованным пользователем","tests.ui","Mon Apr 14 07:44:46 GMT 2025","passed","Mon Apr 14 07:44:48 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Гость видит Кнопку Войти со страницы любого товара","357","Тест видимости кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 14 07:45:22 GMT 2025","passed","Mon Apr 14 07:45:22 GMT 2025","","test_product_page","",""
"","10641","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests.ui","Mon Apr 14 07:44:31 GMT 2025","passed","Mon Apr 14 07:44:42 GMT 2025","","test_main_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","731","Тест заранее проваленный у авторизованного пользователя","tests.ui","Mon Apr 14 07:44:44 GMT 2025","skipped","Mon Apr 14 07:44:45 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","5749","Тест заранее проваленный","tests.ui","Mon Apr 14 07:44:48 GMT 2025","skipped","Mon Apr 14 07:44:54 GMT 2025","","test_product_page","",""
"","1321","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests.ui","Mon Apr 14 07:44:28 GMT 2025","passed","Mon Apr 14 07:44:30 GMT 2025","TestLoginFromMainPage","test_main_page","",""
