"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1854","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests","Mon Mar 31 05:42:27 GMT 2025","passed","Mon Mar 31 05:42:29 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Используем метод POST, для простой регистрации пользователя","1719","Тест позитивный регистрации пользователя","tests.api","Mon Mar 31 05:42:13 GMT 2025","passed","Mon Mar 31 05:42:15 GMT 2025","","test_api","",""
"Гость может нажать кнопку Войти со страницы любого товара","1095","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests","Mon Mar 31 05:43:28 GMT 2025","passed","Mon Mar 31 05:43:29 GMT 2025","","test_product_page","",""
"Гость видит Кнопку Войти со страницы любого товара","958","Тест видимости кнопки 'Войти' со страницы любого товара","tests","Mon Mar 31 05:43:27 GMT 2025","passed","Mon Mar 31 05:43:28 GMT 2025","","test_product_page","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","22889","Тест надписей пустой корзины и не пустой","tests","Mon Mar 31 05:43:30 GMT 2025","passed","Mon Mar 31 05:43:52 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","5955","Тест заранее проваленный","tests","Mon Mar 31 05:42:51 GMT 2025","skipped","Mon Mar 31 05:42:57 GMT 2025","","test_product_page","",""
"Используем метод POST, для регистрации пользователя с username 256 символ","592","Тест регистрации пользователя с username = 256 символ","tests.api","Mon Mar 31 05:42:17 GMT 2025","passed","Mon Mar 31 05:42:17 GMT 2025","","test_api","",""
"","1865","Тест появления сообщений при добавлении товара в корзину","tests","Mon Mar 31 05:42:57 GMT 2025","passed","Mon Mar 31 05:42:59 GMT 2025","","test_product_page","",""
"","980","Тест видимости кнопки логин неавторизованного пользователя","tests","Mon Mar 31 05:42:29 GMT 2025","passed","Mon Mar 31 05:42:30 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","20958","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests","Mon Mar 31 05:42:59 GMT 2025","passed","Mon Mar 31 05:43:20 GMT 2025","","test_product_page","",""
"Используем метод POST, для регистрации пользователя с username 1 символ","1650","Тест регистрации пользователя с username = 1 символ","tests.api","Mon Mar 31 05:42:15 GMT 2025","passed","Mon Mar 31 05:42:17 GMT 2025","","test_api","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","5680","Тест заранее проваленный","tests","Mon Mar 31 05:43:21 GMT 2025","skipped","Mon Mar 31 05:43:26 GMT 2025","","test_product_page","",""
"","11266","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests","Mon Mar 31 05:42:31 GMT 2025","passed","Mon Mar 31 05:42:42 GMT 2025","","test_main_page","",""
"","1813","Тест добавления товара в корзины авторизованным пользователем","tests","Mon Mar 31 05:42:49 GMT 2025","passed","Mon Mar 31 05:42:50 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","1201","Тест заанее проваленный у авторизованного пользователя","tests","Mon Mar 31 05:42:45 GMT 2025","skipped","Mon Mar 31 05:42:46 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
