"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Гость видит Кнопку Войти со страницы любого товара","701","Тест видимости кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 14 07:43:25 GMT 2025","passed","Mon Apr 14 07:43:26 GMT 2025","","test_product_page","",""
"","1741","Тест добавления товара в корзины авторизованным пользователем","tests.ui","Mon Apr 14 07:42:47 GMT 2025","passed","Mon Apr 14 07:42:49 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Гость может нажать кнопку Войти со страницы любого товара","913","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 14 07:43:26 GMT 2025","passed","Mon Apr 14 07:43:27 GMT 2025","","test_product_page","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","22581","Тест надписей пустой корзины и не пустой","tests.ui","Mon Apr 14 07:43:27 GMT 2025","passed","Mon Apr 14 07:43:50 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","6346","Тест заранее проваленный","tests.ui","Mon Apr 14 07:42:50 GMT 2025","skipped","Mon Apr 14 07:42:56 GMT 2025","","test_product_page","",""
"","785","Тест видимости кнопки логин неавторизованного пользователя","tests.ui","Mon Apr 14 07:42:30 GMT 2025","passed","Mon Apr 14 07:42:31 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","1106","Тест заранее проваленный у авторизованного пользователя","tests.ui","Mon Apr 14 07:42:44 GMT 2025","skipped","Mon Apr 14 07:42:45 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","5179","Тест заранее проваленный","tests.ui","Mon Apr 14 07:43:19 GMT 2025","skipped","Mon Apr 14 07:43:25 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","20724","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests.ui","Mon Apr 14 07:42:58 GMT 2025","passed","Mon Apr 14 07:43:19 GMT 2025","","test_product_page","",""
"","1461","Тест появления сообщений при добавлении товара в корзину","tests.ui","Mon Apr 14 07:42:56 GMT 2025","passed","Mon Apr 14 07:42:58 GMT 2025","","test_product_page","",""
"","1417","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests.ui","Mon Apr 14 07:42:28 GMT 2025","passed","Mon Apr 14 07:42:30 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"","10961","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests.ui","Mon Apr 14 07:42:31 GMT 2025","passed","Mon Apr 14 07:42:42 GMT 2025","","test_main_page","",""
