"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1744","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests.ui","Fri Apr 25 07:47:12 GMT 2025","passed","Fri Apr 25 07:47:14 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"","1001","Тест видимости кнопки логин неавторизованного пользователя","tests.ui","Fri Apr 25 07:47:15 GMT 2025","passed","Fri Apr 25 07:47:16 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","6786","Тест заранее проваленный","tests.ui","Fri Apr 25 07:47:41 GMT 2025","failed","Fri Apr 25 07:47:47 GMT 2025","","test_product_page","",""
"Гость может нажать кнопку Войти со страницы любого товара","1868","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests.ui","Fri Apr 25 07:48:23 GMT 2025","passed","Fri Apr 25 07:48:25 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","1374","Тест заранее проваленный у авторизованного пользователя","tests.ui","Fri Apr 25 07:47:33 GMT 2025","skipped","Fri Apr 25 07:47:34 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"","2293","Тест добавления товара в корзины авторизованным пользователем","tests.ui","Fri Apr 25 07:47:38 GMT 2025","passed","Fri Apr 25 07:47:40 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","5649","Тест заранее проваленный","tests.ui","Fri Apr 25 07:48:15 GMT 2025","skipped","Fri Apr 25 07:48:20 GMT 2025","","test_product_page","",""
"","1899","Тест появления сообщений при добавлении товара в корзину","tests.ui","Fri Apr 25 07:47:48 GMT 2025","passed","Fri Apr 25 07:47:50 GMT 2025","","test_product_page","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","24352","Тест надписей пустой корзины и не пустой","tests.ui","Fri Apr 25 07:48:26 GMT 2025","passed","Fri Apr 25 07:48:50 GMT 2025","","test_product_page","",""
"","11708","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests.ui","Fri Apr 25 07:47:17 GMT 2025","passed","Fri Apr 25 07:47:29 GMT 2025","","test_main_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","22672","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests.ui","Fri Apr 25 07:47:51 GMT 2025","passed","Fri Apr 25 07:48:14 GMT 2025","","test_product_page","",""
"Гость видит Кнопку Войти со страницы любого товара","938","Тест видимости кнопки 'Войти' со страницы любого товара","tests.ui","Fri Apr 25 07:48:21 GMT 2025","passed","Fri Apr 25 07:48:22 GMT 2025","","test_product_page","",""
