"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Гость видит Кнопку Войти со страницы любого товара","294","Тест видимости кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 14 07:05:22 GMT 2025","passed","Mon Apr 14 07:05:23 GMT 2025","","test_product_page","",""
"","10605","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests.ui","Mon Apr 14 07:04:29 GMT 2025","passed","Mon Apr 14 07:04:40 GMT 2025","","test_main_page","",""
"Гость может нажать кнопку Войти со страницы любого товара","520","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 14 07:05:23 GMT 2025","passed","Mon Apr 14 07:05:23 GMT 2025","","test_product_page","",""
"","3969","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests.ui","Mon Apr 14 07:04:24 GMT 2025","passed","Mon Apr 14 07:04:28 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","20361","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests.ui","Mon Apr 14 07:04:56 GMT 2025","passed","Mon Apr 14 07:05:16 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","1133","Тест заранее проваленный у авторизованного пользователя","tests.ui","Mon Apr 14 07:04:43 GMT 2025","skipped","Mon Apr 14 07:04:44 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"","229","Тест видимости кнопки логин неавторизованного пользователя","tests.ui","Mon Apr 14 07:04:29 GMT 2025","passed","Mon Apr 14 07:04:29 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"","2197","Тест добавления товара в корзины авторизованным пользователем","tests.ui","Mon Apr 14 07:04:46 GMT 2025","passed","Mon Apr 14 07:04:49 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","5356","Тест заранее проваленный","tests.ui","Mon Apr 14 07:04:49 GMT 2025","skipped","Mon Apr 14 07:04:54 GMT 2025","","test_product_page","",""
"","869","Тест появления сообщений при добавлении товара в корзину","tests.ui","Mon Apr 14 07:04:55 GMT 2025","passed","Mon Apr 14 07:04:56 GMT 2025","","test_product_page","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","22595","Тест надписей пустой корзины и не пустой","tests.ui","Mon Apr 14 07:05:24 GMT 2025","passed","Mon Apr 14 07:05:47 GMT 2025","","test_product_page","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","4977","Тест заранее проваленный","tests.ui","Mon Apr 14 07:05:17 GMT 2025","skipped","Mon Apr 14 07:05:22 GMT 2025","","test_product_page","",""
