"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","25790","Тест надписей пустой корзины и не пустой","tests.ui","Mon Apr 07 18:52:55 GMT 2025","passed","Mon Apr 07 18:53:21 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","6732","Тест заранее проваленный","tests.ui","Mon Apr 07 18:52:16 GMT 2025","skipped","Mon Apr 07 18:52:23 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","1414","Тест заранее проваленный у авторизованного пользователя","tests.ui","Mon Apr 07 18:52:10 GMT 2025","skipped","Mon Apr 07 18:52:12 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"","1830","Тест добавления товара в корзины авторизованным пользователем","tests.ui","Mon Apr 07 18:52:14 GMT 2025","passed","Mon Apr 07 18:52:16 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","20823","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests.ui","Mon Apr 07 18:52:25 GMT 2025","passed","Mon Apr 07 18:52:46 GMT 2025","","test_product_page","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","5875","Тест заранее проваленный","tests.ui","Mon Apr 07 18:52:47 GMT 2025","skipped","Mon Apr 07 18:52:53 GMT 2025","","test_product_page","",""
"","1737","Тест появления сообщений при добавлении товара в корзину","tests.ui","Mon Apr 07 18:52:23 GMT 2025","passed","Mon Apr 07 18:52:25 GMT 2025","","test_product_page","",""
"","1637","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests.ui","Mon Apr 07 18:51:53 GMT 2025","passed","Mon Apr 07 18:51:55 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Гость может нажать кнопку Войти со страницы любого товара","861","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 07 18:52:54 GMT 2025","passed","Mon Apr 07 18:52:55 GMT 2025","","test_product_page","",""
"","11001","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests.ui","Mon Apr 07 18:51:56 GMT 2025","passed","Mon Apr 07 18:52:07 GMT 2025","","test_main_page","",""
"","754","Тест видимости кнопки логин неавторизованного пользователя","tests.ui","Mon Apr 07 18:51:55 GMT 2025","passed","Mon Apr 07 18:51:56 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Гость видит Кнопку Войти со страницы любого товара","752","Тест видимости кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 07 18:52:53 GMT 2025","passed","Mon Apr 07 18:52:54 GMT 2025","","test_product_page","",""
