"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1002","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests","Mon Mar 31 06:05:09 GMT 2025","passed","Mon Mar 31 06:05:10 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","20474","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests","Mon Mar 31 06:05:48 GMT 2025","passed","Mon Mar 31 06:06:09 GMT 2025","","test_product_page","",""
"Используем метод POST, для регистрации пользователя с username 256 символ","407","Тест регистрации пользователя с username = 256 символ","tests.api","Mon Mar 31 06:05:08 GMT 2025","passed","Mon Mar 31 06:05:08 GMT 2025","","test_api","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","5806","Тест заранее проваленный","tests","Mon Mar 31 06:06:09 GMT 2025","skipped","Mon Mar 31 06:06:15 GMT 2025","","test_product_page","",""
"Используем метод POST, для простой регистрации пользователя","1520","Тест позитивный регистрации пользователя","tests.api","Mon Mar 31 06:05:05 GMT 2025","passed","Mon Mar 31 06:05:06 GMT 2025","","test_api","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","0","Тест заранее проваленный у авторизованного пользователя","tests","Mon Mar 31 06:05:22 GMT 2025","skipped","Mon Mar 31 06:05:22 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"","360","Тест видимости кнопки логин неавторизованного пользователя","tests","Mon Mar 31 06:05:11 GMT 2025","passed","Mon Mar 31 06:05:11 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"","1015","Тест появления сообщений при добавлении товара в корзину","tests","Mon Mar 31 06:05:47 GMT 2025","passed","Mon Mar 31 06:05:48 GMT 2025","","test_product_page","",""
"","3091","Тест добавления товара в корзины авторизованным пользователем","tests","Mon Mar 31 06:05:36 GMT 2025","passed","Mon Mar 31 06:05:39 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Используем метод POST, для регистрации пользователя с username 1 символ","1670","Тест регистрации пользователя с username = 1 символ","tests.api","Mon Mar 31 06:05:06 GMT 2025","passed","Mon Mar 31 06:05:08 GMT 2025","","test_api","",""
"Гость может нажать кнопку Войти со страницы любого товара","451","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests","Mon Mar 31 06:06:16 GMT 2025","passed","Mon Mar 31 06:06:16 GMT 2025","","test_product_page","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","22753","Тест надписей пустой корзины и не пустой","tests","Mon Mar 31 06:06:17 GMT 2025","passed","Mon Mar 31 06:06:39 GMT 2025","","test_product_page","",""
"","11040","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests","Mon Mar 31 06:05:11 GMT 2025","passed","Mon Mar 31 06:05:22 GMT 2025","","test_main_page","",""
"Гость видит Кнопку Войти со страницы любого товара","286","Тест видимости кнопки 'Войти' со страницы любого товара","tests","Mon Mar 31 06:06:15 GMT 2025","passed","Mon Mar 31 06:06:16 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","6668","Тест заранее проваленный","tests","Mon Mar 31 06:05:40 GMT 2025","skipped","Mon Mar 31 06:05:46 GMT 2025","","test_product_page","",""
