"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","23142","Тест надписей пустой корзины и не пустой","tests.ui","Mon May 26 06:32:29 GMT 2025","passed","Mon May 26 06:32:52 GMT 2025","","test_product_page","",""
"","11248","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests.ui","Mon May 26 06:31:28 GMT 2025","passed","Mon May 26 06:31:39 GMT 2025","","test_main_page","",""
"","1720","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests.ui","Mon May 26 06:31:24 GMT 2025","passed","Mon May 26 06:31:25 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"","1872","Тест добавления товара в корзины авторизованным пользователем","tests.ui","Mon May 26 06:31:46 GMT 2025","passed","Mon May 26 06:31:48 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"","1842","Тест появления сообщений при добавлении товара в корзину","tests.ui","Mon May 26 06:31:55 GMT 2025","passed","Mon May 26 06:31:57 GMT 2025","","test_product_page","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","5619","Тест заранее проваленный","tests.ui","Mon May 26 06:32:19 GMT 2025","skipped","Mon May 26 06:32:25 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","6450","Тест заранее проваленный","tests.ui","Mon May 26 06:31:48 GMT 2025","failed","Mon May 26 06:31:55 GMT 2025","","test_product_page","",""
"Гость может нажать кнопку Войти со страницы любого товара","1148","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests.ui","Mon May 26 06:32:28 GMT 2025","passed","Mon May 26 06:32:29 GMT 2025","","test_product_page","",""
"","932","Тест видимости кнопки логин неавторизованного пользователя","tests.ui","Mon May 26 06:31:26 GMT 2025","passed","Mon May 26 06:31:27 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Гость видит Кнопку Войти со страницы любого товара","803","Тест видимости кнопки 'Войти' со страницы любого товара","tests.ui","Mon May 26 06:32:26 GMT 2025","passed","Mon May 26 06:32:27 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","20820","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests.ui","Mon May 26 06:31:58 GMT 2025","passed","Mon May 26 06:32:19 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","1139","Тест заранее проваленный у авторизованного пользователя","tests.ui","Mon May 26 06:31:42 GMT 2025","skipped","Mon May 26 06:31:43 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
