"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Гость может нажать кнопку Войти со страницы любого товара","1129","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 07 18:48:56 GMT 2025","passed","Mon Apr 07 18:48:58 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","6116","Тест заранее проваленный","tests.ui","Mon Apr 07 18:48:18 GMT 2025","skipped","Mon Apr 07 18:48:24 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","20999","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests.ui","Mon Apr 07 18:48:28 GMT 2025","passed","Mon Apr 07 18:48:49 GMT 2025","","test_product_page","",""
"","11292","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests.ui","Mon Apr 07 18:47:55 GMT 2025","passed","Mon Apr 07 18:48:07 GMT 2025","","test_main_page","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","23773","Тест надписей пустой корзины и не пустой","tests.ui","Mon Apr 07 18:48:58 GMT 2025","passed","Mon Apr 07 18:49:22 GMT 2025","","test_product_page","",""
"Гость видит Кнопку Войти со страницы любого товара","913","Тест видимости кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 07 18:48:55 GMT 2025","passed","Mon Apr 07 18:48:56 GMT 2025","","test_product_page","",""
"","2379","Тест появления сообщений при добавлении товара в корзину","tests.ui","Mon Apr 07 18:48:25 GMT 2025","passed","Mon Apr 07 18:48:27 GMT 2025","","test_product_page","",""
"","2535","Тест добавления товара в корзины авторизованным пользователем","tests.ui","Mon Apr 07 18:48:15 GMT 2025","passed","Mon Apr 07 18:48:18 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"","1269","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests.ui","Mon Apr 07 18:47:52 GMT 2025","passed","Mon Apr 07 18:47:54 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"","1005","Тест видимости кнопки логин неавторизованного пользователя","tests.ui","Mon Apr 07 18:47:54 GMT 2025","passed","Mon Apr 07 18:47:55 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","1866","Тест заранее проваленный у авторизованного пользователя","tests.ui","Mon Apr 07 18:48:10 GMT 2025","skipped","Mon Apr 07 18:48:12 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","5647","Тест заранее проваленный","tests.ui","Mon Apr 07 18:48:49 GMT 2025","skipped","Mon Apr 07 18:48:55 GMT 2025","","test_product_page","",""
