"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Используем метод POST, для регистрации пользователя с username 1 символ","1528","Тест регистрации пользователя с username = 1 символ","tests.api","Mon Mar 31 05:47:25 GMT 2025","passed","Mon Mar 31 05:47:26 GMT 2025","","test_api","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","1094","Тест заанее проваленный у авторизованного пользователя","tests","Mon Mar 31 05:47:44 GMT 2025","skipped","Mon Mar 31 05:47:45 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","5931","Тест заранее проваленный","tests","Mon Mar 31 05:48:21 GMT 2025","skipped","Mon Mar 31 05:48:27 GMT 2025","","test_product_page","",""
"","11148","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests","Mon Mar 31 05:47:31 GMT 2025","passed","Mon Mar 31 05:47:42 GMT 2025","","test_main_page","",""
"","1631","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests","Mon Mar 31 05:47:28 GMT 2025","passed","Mon Mar 31 05:47:29 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Гость может нажать кнопку Войти со страницы любого товара","1323","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests","Mon Mar 31 05:48:29 GMT 2025","passed","Mon Mar 31 05:48:30 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","6052","Тест заранее проваленный","tests","Mon Mar 31 05:47:50 GMT 2025","skipped","Mon Mar 31 05:47:56 GMT 2025","","test_product_page","",""
"","869","Тест видимости кнопки логин неавторизованного пользователя","tests","Mon Mar 31 05:47:30 GMT 2025","passed","Mon Mar 31 05:47:31 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Используем метод POST, для регистрации пользователя с username 256 символ","585","Тест регистрации пользователя с username = 256 символ","tests.api","Mon Mar 31 05:47:26 GMT 2025","passed","Mon Mar 31 05:47:27 GMT 2025","","test_api","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","21043","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests","Mon Mar 31 05:47:59 GMT 2025","passed","Mon Mar 31 05:48:20 GMT 2025","","test_product_page","",""
"Используем метод POST, для простой регистрации пользователя","1730","Тест позитивный регистрации пользователя","tests.api","Mon Mar 31 05:47:23 GMT 2025","passed","Mon Mar 31 05:47:25 GMT 2025","","test_api","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","23325","Тест надписей пустой корзины и не пустой","tests","Mon Mar 31 05:48:30 GMT 2025","passed","Mon Mar 31 05:48:54 GMT 2025","","test_product_page","",""
"","1860","Тест добавления товара в корзины авторизованным пользователем","tests","Mon Mar 31 05:47:48 GMT 2025","passed","Mon Mar 31 05:47:50 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"","2335","Тест появления сообщений при добавлении товара в корзину","tests","Mon Mar 31 05:47:57 GMT 2025","passed","Mon Mar 31 05:47:59 GMT 2025","","test_product_page","",""
"Гость видит Кнопку Войти со страницы любого товара","1087","Тест видимости кнопки 'Войти' со страницы любого товара","tests","Mon Mar 31 05:48:27 GMT 2025","passed","Mon Mar 31 05:48:28 GMT 2025","","test_product_page","",""
