"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1451","Тест добавления товара в корзины авторизованным пользователем","tests.ui","Mon Apr 14 07:12:33 GMT 2025","passed","Mon Apr 14 07:12:35 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","21072","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests.ui","Mon Apr 14 07:12:43 GMT 2025","passed","Mon Apr 14 07:13:04 GMT 2025","","test_product_page","",""
"","1530","Тест появления сообщений при добавлении товара в корзину","tests.ui","Mon Apr 14 07:12:41 GMT 2025","passed","Mon Apr 14 07:12:43 GMT 2025","","test_product_page","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","5275","Тест заранее проваленный","tests.ui","Mon Apr 14 07:13:05 GMT 2025","skipped","Mon Apr 14 07:13:10 GMT 2025","","test_product_page","",""
"Гость может нажать кнопку Войти со страницы любого товара","594","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 14 07:13:11 GMT 2025","passed","Mon Apr 14 07:13:12 GMT 2025","","test_product_page","",""
"","10436","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests.ui","Mon Apr 14 07:12:18 GMT 2025","passed","Mon Apr 14 07:12:29 GMT 2025","","test_main_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","5405","Тест заранее проваленный","tests.ui","Mon Apr 14 07:12:35 GMT 2025","skipped","Mon Apr 14 07:12:41 GMT 2025","","test_product_page","",""
"Гость видит Кнопку Войти со страницы любого товара","370","Тест видимости кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 14 07:13:10 GMT 2025","passed","Mon Apr 14 07:13:11 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","1127","Тест заранее проваленный у авторизованного пользователя","tests.ui","Mon Apr 14 07:12:31 GMT 2025","skipped","Mon Apr 14 07:12:32 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"","544","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests.ui","Mon Apr 14 07:12:17 GMT 2025","passed","Mon Apr 14 07:12:17 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"","225","Тест видимости кнопки логин неавторизованного пользователя","tests.ui","Mon Apr 14 07:12:18 GMT 2025","passed","Mon Apr 14 07:12:18 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","22304","Тест надписей пустой корзины и не пустой","tests.ui","Mon Apr 14 07:13:12 GMT 2025","passed","Mon Apr 14 07:13:34 GMT 2025","","test_product_page","",""
