"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Гость видит Кнопку Войти со страницы любого товара","1098","Тест видимости кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 14 07:46:02 GMT 2025","passed","Mon Apr 14 07:46:03 GMT 2025","","test_product_page","",""
"","2150","Тест появления сообщений при добавлении товара в корзину","tests.ui","Mon Apr 14 07:45:32 GMT 2025","passed","Mon Apr 14 07:45:34 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","21150","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests.ui","Mon Apr 14 07:45:34 GMT 2025","passed","Mon Apr 14 07:45:55 GMT 2025","","test_product_page","",""
"","11479","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests.ui","Mon Apr 14 07:45:02 GMT 2025","passed","Mon Apr 14 07:45:14 GMT 2025","","test_main_page","",""
"","2598","Тест добавления товара в корзины авторизованным пользователем","tests.ui","Mon Apr 14 07:45:21 GMT 2025","passed","Mon Apr 14 07:45:23 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Гость может нажать кнопку Войти со страницы любого товара","1210","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests.ui","Mon Apr 14 07:46:04 GMT 2025","passed","Mon Apr 14 07:46:05 GMT 2025","","test_product_page","",""
"","1558","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests.ui","Mon Apr 14 07:44:59 GMT 2025","passed","Mon Apr 14 07:45:01 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","1513","Тест заранее проваленный у авторизованного пользователя","tests.ui","Mon Apr 14 07:45:17 GMT 2025","skipped","Mon Apr 14 07:45:18 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","6087","Тест заранее проваленный","tests.ui","Mon Apr 14 07:45:56 GMT 2025","skipped","Mon Apr 14 07:46:02 GMT 2025","","test_product_page","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","23091","Тест надписей пустой корзины и не пустой","tests.ui","Mon Apr 14 07:46:05 GMT 2025","passed","Mon Apr 14 07:46:29 GMT 2025","","test_product_page","",""
"","970","Тест видимости кнопки логин неавторизованного пользователя","tests.ui","Mon Apr 14 07:45:01 GMT 2025","passed","Mon Apr 14 07:45:02 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","7376","Тест заранее проваленный","tests.ui","Mon Apr 14 07:45:24 GMT 2025","skipped","Mon Apr 14 07:45:31 GMT 2025","","test_product_page","",""
