"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","6167","Тест заранее проваленный","tests.ui","Fri Apr 18 06:28:15 GMT 2025","skipped","Fri Apr 18 06:28:21 GMT 2025","","test_product_page","",""
"","10939","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests.ui","Fri Apr 18 06:27:46 GMT 2025","passed","Fri Apr 18 06:27:57 GMT 2025","","test_main_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","865","Тест заранее проваленный у авторизованного пользователя","tests.ui","Fri Apr 18 06:27:59 GMT 2025","skipped","Fri Apr 18 06:28:00 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Гость видит Кнопку Войти со страницы любого товара","321","Тест видимости кнопки 'Войти' со страницы любого товара","tests.ui","Fri Apr 18 06:28:52 GMT 2025","passed","Fri Apr 18 06:28:52 GMT 2025","","test_product_page","",""
"","11405","Тест добавления товара в корзины авторизованным пользователем","tests.ui","Fri Apr 18 06:28:03 GMT 2025","broken","Fri Apr 18 06:28:14 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"","680","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests.ui","Fri Apr 18 06:27:43 GMT 2025","passed","Fri Apr 18 06:27:44 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Гость может нажать кнопку Войти со страницы любого товара","481","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests.ui","Fri Apr 18 06:28:53 GMT 2025","passed","Fri Apr 18 06:28:54 GMT 2025","","test_product_page","",""
"","839","Тест появления сообщений при добавлении товара в корзину","tests.ui","Fri Apr 18 06:28:22 GMT 2025","passed","Fri Apr 18 06:28:23 GMT 2025","","test_product_page","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","24275","Тест надписей пустой корзины и не пустой","tests.ui","Fri Apr 18 06:28:54 GMT 2025","passed","Fri Apr 18 06:29:19 GMT 2025","","test_product_page","",""
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","4731","Тест заранее проваленный","tests.ui","Fri Apr 18 06:28:46 GMT 2025","skipped","Fri Apr 18 06:28:51 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","21467","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests.ui","Fri Apr 18 06:28:24 GMT 2025","passed","Fri Apr 18 06:28:45 GMT 2025","","test_product_page","",""
"","232","Тест видимости кнопки логин неавторизованного пользователя","tests.ui","Fri Apr 18 06:27:45 GMT 2025","passed","Fri Apr 18 06:27:45 GMT 2025","TestLoginFromMainPage","test_main_page","",""
